edp_number,sku,grouped_skus,image_detail,icons,vender_name,category_ids,series_01,series_02,outside_diameter,shank_diameter,flute_length,overall_length,morse_taper_no,surface_treatment,pilot_length,shank_type,point_angle,c_sink_angle,standard,raw_material,attribute_set,name (CHINESE),name (ENGLISH),type,product_type_id,description,price,short_description,status,qty,image,weight,tax_class_id,visibility
GR-SD-D5302,GR-SD-D5302,"YNDBAAADF,YNDBAABDF,YNDBAACDF,YNDBAADDF,YNDBAAEDF,YNDBAAFDF,YNDBAAGDF,YNDBAAHDF,YNDBAAIDF,YNDBAAJDF,YNDBAAKDF",,,YG-1,"3,8,39",Center Drill,D5302,,,,,,0,1,PLAIN,120°,60°,,Carbide,SD_center_drill,硬质合金 中心钻头 Form C,CARBIDE Center Drill Form C,grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-DH302,GR-SD-DH302,"YNDBAALDF,YNDBAAMDF,YNDBAANDF,YNDBAAODF,YNDBAAPDF,YNDBAAQDF,YNDBAARDF,YNDBAASDF,YNDBAATDF,YNDBAAUDF,YNDBAAVDF",,,YG-1,"3,8,39",Center Drill,DH302,,,,,,TiAlN,1,PLAIN,120°,60°,,Carbide,SD_center_drill,硬质合金 中心钻头 Form C(TiAlN涂层),CARBIDE Center Drill Form C(TiAlN),grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-D5306,GR-SD-D5306,"YNDHAAADF,YNDHAABDF,YNDHAACDF,YNDHAADDF,YNDHAAEDF,YNDHAAFDF",,,YG-1,"3,8,61",NC SPOTTING Drill,D5306,,,,,,0,0,0,90°,0,,Carbide,SD_nc_drill,硬质合金 定心钻头(90角度),CARBIDE NC Spotting Drill(90deg.),grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-D5307,GR-SD-D5306,"YNDHAAGDF,YNDHAAHDF,YNDHAAIDF,YNDHAAJDF,YNDHAAKDF,YNDHAALDF",,,YG-1,"3,8,61",NC SPOTTING Drill,D5307,,,,,,0,0,0,120°,0,,Carbide,SD_nc_drill,硬质合金 定心钻头(120角度),CARBIDE NC Spotting Drill(120deg.),grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-D5315,GR-SD-D5315,"YNDHAAMDF,YNDHAANDF,YNDHAAODF,YNDHAAPDF,YNDHAAQDF,YNDHAARDF,YNDHAASDF,YNDHAATDF,YNDHAAUDF",,,YG-1,"3,8,61",NC SPOTTING Drill,D5315,,,,,,0,0,0,90°,0,,Carbide,SD_nc_drill,硬质合金 定心钻头(90角度),CARBIDE NC Spotting Drill(90deg.),grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-D5318,GR-SD-D5318,"YNDHAAVDF,YNDHAAWDF,YNDHAAXDF,YNDHAAYDF,YNDHAAZDF,YNDHABADF,YNDHABBDF,YNDHABCDF",,,YG-1,"3,8,61",NC SPOTTING Drill,D5318,,,,,,0,0,0,120°,0,,Carbide,SD_nc_drill,硬质合金 定心钻头,CARBIDE NC Spotting Drill,grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-H4401,GR-SD-H4401,"YNDAAAADF,YNDAAABDF,YNDAAACDF,YNDAAADDF,YNDAAAEDF,YNDAAAFDF,YNDAAAGDF,YNDAAAHDF,YNDAAAIDF,YNDAAAJDF,YNDAAAKDF,YNDAAALDF,YNDAAAMDF,YNDAAANDF,YNDAAAODF,YNDAAAPDF,YNDAAAQDF,YNDAAARDF,YNDAAASDF,YNDAAATDF,YNDAAAUDF,YNDAAAVDF,YNDAAAWDF,YNDAAAXDF,YNDAAAYDF,YNDAAAZDF,YNDAABADF,YNDAABBDF,YNDAABCDF,YNDAABDDF,YNDAABEDF,YNDAABFDF,YNDAABGDF,YNDAABHDF,YNDAABIDF,YNDAABJDF,YNDAABKDF,YNDAABLDF,YNDAABMDF,YNDAABNDF,YNDAABODF,YNDAABPDF,YNDAABQDF,YNDAABRDF,YNDAABSDF,YNDAABTDF,YNDAABUDF,YNDAABVDF,YNDAABWDF,YNDAABXDF,YNDAABYDF,YNDAABZDF,YNDAACADF,YNDAACBDF,YNDAACCDF,YNDAACDDF,YNDAACEDF,YNDAACFDF,YNDAACGDF,YNDAACHDF,YNDAACIDF,YNDAACJDF,YNDAACKDF,YNDAACLDF,YNDAACMDF,YNDAACNDF,YNDAACODF,YNDAACPDF,YNDAACQDF,YNDAACRDF,YNDAACSDF,YNDAACTDF,YNDAACUDF,YNDAACVDF,YNDAACWDF,YNDAACXDF,YNDAACYDF,YNDAACZDF,YNDAADADF,YNDAADBDF,YNDAADCDF,YNDAADDDF,YNDAADEDF,YNDAADFDF,YNDAADGDF,YNDAADHDF,YNDAADIDF,YNDAADJDF,YNDAADKDF,YNDAADLDF,YNDAADMDF,YNDAADNDF,YNDAADODF,YNDAADPDF,YNDAADQDF,YNDAADRDF,YNDAADSDF,YNDAADTDF,YNDAADUDF,YNDAADVDF,YNDAADWDF,YNDAADXDF,YNDAADYDF,YNDAADZDF,YNDAAEADF,YNDAAEBDF,YNDAAECDF,YNDAAEDDF,YNDAAEEDF,YNDAAEFDF,YNDAAEGDF,YNDAAEIDF,YNDAAEKDF,YNDAAEMDF,YNDAAEODF,YNDAAEQDF,YNDAAESDF,YNDAAEUDF,YNDAAEWDF,YNDAAEYDF,YNDAAFADF,YNDAAFCDF,YNDAAFEDF,YNDAAFGDF,YNDAAFIDF,YNDAAFKDF,YNDAAFMDF,YNDAAFODF,YNDAAFQDF,YNDAAFSDF,YNDAAFUDF,YNDAAFWDF,YNDAAFYDF,YNDAAGADF,YNDAAGCDF,YNDAAGEDF,YNDAAGGDF,YNDAAGIDF,YNDAAGKDF,YNDAAGMDF,YNDAAGODF,YNDAAGQDF,YNDAAGSDF,YNDAAGUDF,YNDAAGWDF,YNDAAGYDF,YNDAAHADF,YNDAAHCDF,YNDAAHEDF,YNDAAHGDF,YNDAAHIDF,YNDAAHKDF,YNDAAHMDF,YNDAAHODF,YNDAAHQDF,YNDAAHSDF,YNDAAHUDF,YNDAAHWDF,YNDAAHYDF,YNDAAIADF,YNDAAICDF",,,YG-1,"3,8,47",Carbide Straight Shank Drill,H4401,,,,,,0,0,0,0,0,,Carbide,SD_drill_normal,硬质合金 超短 直柄钻头,CARBIDE Stub Straight Shank Drill,grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-D5401,GR-SD-D5401,"YNDAAEHDF,YNDAAEJDF,YNDAAELDF,YNDAAENDF,YNDAAEPDF,YNDAAERDF,YNDAAETDF,YNDAAEVDF,YNDAAEXDF,YNDAAEZDF,YNDAAFBDF,YNDAAFDDF,YNDAAFFDF,YNDAAFHDF,YNDAAFJDF,YNDAAFLDF,YNDAAFNDF,YNDAAFPDF,YNDAAFRDF,YNDAAFTDF,YNDAAFVDF,YNDAAFXDF,YNDAAFZDF,YNDAAGBDF,YNDAAGDDF,YNDAAGFDF,YNDAAGHDF,YNDAAGJDF,YNDAAGLDF,YNDAAGNDF,YNDAAGPDF,YNDAAGRDF,YNDAAGTDF,YNDAAGVDF,YNDAAGXDF,YNDAAGZDF,YNDAAHBDF,YNDAAHDDF,YNDAAHFDF,YNDAAHHDF,YNDAAHJDF,YNDAAHLDF,YNDAAHNDF,YNDAAHPDF,YNDAAHRDF,YNDAAHTDF,YNDAAHVDF,YNDAAHXDF,YNDAAHZDF,YNDAAIBDF,YNDAAQZDF,YNDAARADF,YNDAARBDF,YNDAARCDF,YNDAARDDF,YNDAAREDF,YNDAARFDF,YNDAARGDF,YNDAARHDF,YNDAARIDF,YNDAARJDF,YNDAARKDF,YNDAARLDF,YNDAARMDF,YNDAARNDF,YNDAARODF,YNDAARPDF,YNDAARQDF,YNDAARRDF,YNDAARSDF,YNDAARTDF,YNDAARUDF,YNDAARVDF,YNDAARWDF,YNDAARXDF,YNDAARYDF,YNDAARZDF,YNDAASADF,YNDAASBDF,YNDAASCDF,YNDAASDDF,YNDAASEDF,YNDAASFDF,YNDAASGDF,YNDAASHDF,YNDAASIDF,YNDAASJDF,YNDAASKDF,YNDAASLDF,YNDAASMDF,YNDAASNDF,YNDAASODF,YNDAASPDF,YNDAASQDF,YNDAASRDF,YNDAASSDF,YNDAASTDF,YNDAASUDF,YNDAASVDF,YNDAASWDF,YNDAASXDF,YNDAASYDF,YNDAASZDF,YNDAATADF,YNDAATBDF,YNDAATCDF,YNDAATDDF,YNDAATEDF,YNDAATFDF,YNDAATGDF,YNDAATHDF,YNDAATIDF,YNDAATJDF,YNDAATKDF,YNDAATLDF,YNDAATMDF,YNDAATNDF,YNDAATODF,YNDAATPDF,YNDAATQDF,YNDAATRDF,YNDAATSDF,YNDAATTDF,YNDAATUDF,YNDAATVDF,YNDAATWDF,YNDAATXDF,YNDAATYDF,YNDAATZDF,YNDAAUADF,YNDAAUBDF,YNDAAUCDF,YNDAAUDDF,YNDAAUEDF,YNDAAUFDF,YNDAAUGDF,YNDAAUHDF,YNDAAUIDF,YNDAAUJDF,YNDAAUKDF,YNDAAULDF,YNDAAUMDF,YNDAAUNDF,YNDAAUODF,YNDAAUPDF,YNDAAUQDF,YNDAAURDF,YNDAAUSDF,YNDAAUTDF,YNDAAUUDF,YNDAAUVDF,YNDAAUWDF,YNDAAUXDF,YNDAAUYDF,YNDAAUZDF,YNDAAVADF,YNDAAVBDF,YNDAAVCDF,YNDAAVDDF,YNDAAVEDF,YNDAAVFDF,YNDAAVGDF,YNDAAVHDF,YNDAAVIDF,YNDAAVJDF,YNDAAVKDF,YNDAAVLDF,YNDAAVMDF,YNDAAVNDF,YNDAAVODF,YNDAAVPDF",,,YG-1,"3,8,47",Carbide Straight Shank Drill,D5401,,,,,,0,0,0,0,0,,Carbide,SD_drill_normal,硬质合金 超短 直柄钻头,CARBIDE Stub Straight Shank Drill,grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-D5405,GR-SD-D5405,"YNDAAIDDF,YNDAAIEDF,YNDAAIFDF,YNDAAIGDF,YNDAAIHDF,YNDAAIIDF,YNDAAIJDF,YNDAAIKDF,YNDAAILDF,YNDAAIMDF,YNDAAINDF,YNDAAIODF,YNDAAIPDF,YNDAAIQDF,YNDAAIRDF,YNDAAISDF,YNDAAITDF,YNDAAIUDF,YNDAAIVDF,YNDAAIWDF,YNDAAIXDF,YNDAAIYDF,YNDAAIZDF,YNDAAJADF,YNDAAJBDF,YNDAAJCDF,YNDAAJDDF,YNDAAJEDF,YNDAAJFDF,YNDAAJGDF,YNDAAJHDF,YNDAAJIDF,YNDAAJJDF,YNDAAJKDF,YNDAAJLDF,YNDAAJMDF,YNDAAJNDF,YNDAAJODF,YNDAAJPDF,YNDAAJQDF,YNDAAJRDF,YNDAAJSDF,YNDAAJTDF,YNDAAJUDF,YNDAAJVDF,YNDAAJWDF,YNDAAJXDF,YNDAAJYDF,YNDAAJZDF,YNDAAKADF,YNDAAKBDF,YNDAAKCDF,YNDAAKDDF,YNDAAKEDF,YNDAAKFDF,YNDAAKGDF,YNDAAKHDF,YNDAAKIDF,YNDAAKJDF,YNDAAKKDF,YNDAAKLDF,YNDAAKMDF,YNDAAKNDF,YNDAAKODF,YNDAAKPDF,YNDAAKQDF,YNDAAKRDF,YNDAAKSDF,YNDAAKTDF,YNDAAKUDF,YNDAAKVDF,YNDAAKWDF,YNDAAKXDF,YNDAAKYDF,YNDAAKZDF,YNDAALADF,YNDAALBDF,YNDAALCDF,YNDAALDDF,YNDAALEDF,YNDAALFDF,YNDAALGDF,YNDAALHDF,YNDAALIDF,YNDAALJDF,YNDAALKDF,YNDAALLDF,YNDAALMDF,YNDAALNDF,YNDAALODF,YNDAALPDF,YNDAALQDF,YNDAALRDF,YNDAALSDF,YNDAALTDF,YNDAALUDF,YNDAALVDF,YNDAALWDF,YNDAALXDF,YNDAALYDF,YNDAALZDF,YNDAAMADF,YNDAAMBDF,YNDAAMCDF,YNDAAMDDF,YNDAAMEDF,YNDAAMFDF,YNDAAMGDF,YNDAAMHDF,YNDAAVQDF,YNDAAVRDF,YNDAAVSDF,YNDAAVTDF,YNDAAVUDF,YNDAAVVDF,YNDAAVWDF,YNDAAVXDF,YNDAAVYDF,YNDAAVZDF,YNDAAWADF,YNDAAWBDF,YNDAAWCDF,YNDAAWDDF,YNDAAWEDF,YNDAAWFDF,YNDAAWGDF,YNDAAWHDF,YNDAAWIDF,YNDAAWJDF,YNDAAWKDF,YNDAAWLDF,YNDAAWMDF,YNDAAWNDF,YNDAAWODF,YNDAAWPDF,YNDAAWQDF,YNDAAWRDF,YNDAAWSDF,YNDAAWTDF,YNDAAWUDF,YNDAAWVDF,YNDAAWWDF,YNDAAWXDF,YNDAAWYDF,YNDAAWZDF,YNDAAXADF,YNDAAXBDF,YNDAAXCDF,YNDAAXDDF,YNDAAXEDF,YNDAAXFDF,YNDAAXGDF,YNDAAXHDF,YNDAAXIDF,YNDAAXJDF,YNDAAXKDF,YNDAAXLDF,YNDAAXMDF,YNDAAXNDF,YNDAAXODF,YNDAAXPDF,YNDAAXQDF,YNDAAXRDF,YNDAAXSDF,YNDAAXTDF,YNDAAXUDF,YNDAAXVDF,YNDAAXWDF,YNDAAXXDF,YNDAAXYDF,YNDAAXZDF,YNDAAYADF,YNDAAYBDF,YNDAAYCDF,YNDAAYDDF,YNDAAYEDF,YNDAAYFDF,YNDAAYGDF,YNDAAYHDF,YNDAAYIDF,YNDAAYJDF,YNDAAYKDF,YNDAAYLDF,YNDAAYMDF,YNDAAYNDF,YNDAAYODF,YNDAAYPDF,YNDAAYQDF,YNDAAYRDF,YNDAAYSDF,YNDAAYTDF,YNDAAYUDF,YNDAAYVDF,YNDAAYWDF,YNDAAYXDF,YNDAAYYDF,YNDAAYZDF,YNDAAZADF,YNDAAZBDF,YNDAAZCDF,YNDAAZDDF,YNDAAZEDF,YNDAAZFDF,YNDAAZGDF,YNDAAZHDF,YNDAAZIDF,YNDAAZJDF,YNDAAZKDF,YNDAAZLDF,YNDAAZMDF,YNDAAZODF,YNDAAZRDF,YNDAAZUDF,YNDAAZWDF,YNDAAZYDF,YNDABABDF,YNDABADDF,YNDABAGDF,YNDAAZNDF,YNDAAZPDF,YNDAAZQDF,YNDAAZSDF,YNDAAZTDF,YNDAAZVDF,YNDAAZXDF,YNDAAZZDF,YNDABAADF,YNDABACDF,YNDABAEDF,YNDABAFDF",,,YG-1,"3,8,47",Carbide Straight Shank Drill,D5405,,,,,,0,0,0,0,0,,Carbide,SD_drill_normal,硬质合金 超短 直柄钻头 DIN 6539,CARBIDE Stub Straight Shank Drill DIN 6539,grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-D5407,GR-SD-D5407,"YNDAAMIDF,YNDAAMJDF,YNDAAMKDF,YNDAAMLDF,YNDAAMMDF,YNDAAMNDF,YNDAAMODF,YNDAAMPDF,YNDAAMQDF,YNDAAMRDF,YNDAAMSDF,YNDAAMTDF,YNDAAMUDF,YNDAAMVDF,YNDAAMWDF,YNDAAMXDF,YNDAAMYDF,YNDAAMZDF,YNDAANADF,YNDAANBDF,YNDAANCDF,YNDAANDDF,YNDAANEDF,YNDAANFDF,YNDAANGDF,YNDAANHDF,YNDAANIDF,YNDAANJDF,YNDAANKDF,YNDAANLDF,YNDAANMDF,YNDAANNDF,YNDAANODF,YNDAANPDF,YNDAANQDF,YNDAANRDF,YNDAANSDF,YNDAANTDF,YNDAANUDF,YNDAANVDF,YNDAANWDF,YNDAANXDF,YNDAANYDF,YNDAANZDF,YNDAAOADF,YNDAAOBDF,YNDAAOCDF,YNDAAODDF,YNDAAOEDF,YNDAAOFDF,YNDAAOGDF,YNDAAOHDF,YNDAAOIDF,YNDAAOJDF,YNDAAOKDF,YNDAAOLDF,YNDAAOMDF,YNDAAONDF,YNDAAOODF,YNDAAOPDF,YNDAAOQDF,YNDAAORDF,YNDAAOSDF,YNDAAOTDF,YNDAAOUDF,YNDAAOVDF,YNDAAOWDF,YNDAAOXDF,YNDAAOYDF,YNDAAOZDF,YNDAAPADF,YNDAAPBDF,YNDAAPCDF,YNDAAPDDF,YNDAAPEDF,YNDAAPFDF,YNDAAPGDF,YNDAAPHDF,YNDAAPIDF,YNDAAPJDF,YNDAAPKDF,YNDAAPLDF,YNDAAPMDF,YNDAAPNDF,YNDAAPODF,YNDAAPPDF,YNDAAPQDF,YNDAAPRDF,YNDAAPSDF,YNDAAPTDF,YNDAAPUDF,YNDAAPVDF,YNDAAPWDF,YNDAAPXDF,YNDAAPYDF,YNDAAPZDF,YNDAAQADF,YNDAAQBDF,YNDAAQCDF,YNDAAQDDF,YNDAAQEDF,YNDAAQFDF,YNDAAQGDF,YNDAAQHDF,YNDAAQIDF,YNDAAQJDF,YNDAAQKDF,YNDAAQLDF,YNDAAQMDF,YNDAAQNDF,YNDAAQODF,YNDAAQPDF,YNDAAQQDF,YNDAAQRDF,YNDAAQSDF,YNDAAQTDF,YNDAAQUDF,YNDAAQVDF,YNDAAQWDF,YNDAAQXDF,YNDAAQYDF,YNDABAHDF,YNDABAIDF,YNDABAJDF,YNDABAKDF,YNDABALDF,YNDABAMDF,YNDABANDF,YNDABAODF,YNDABAPDF,YNDABAQDF,YNDABARDF,YNDABASDF,YNDABATDF,YNDABAUDF,YNDABAVDF,YNDABAWDF,YNDABAXDF,YNDABAYDF,YNDABAZDF,YNDABBADF,YNDABBBDF,YNDABBCDF,YNDABBDDF,YNDABBEDF,YNDABBFDF,YNDABBGDF,YNDABBHDF,YNDABBIDF,YNDABBJDF,YNDABBKDF,YNDABBLDF,YNDABBMDF,YNDABBNDF,YNDABBODF,YNDABBPDF,YNDABBQDF,YNDABBRDF,YNDABBSDF,YNDABBTDF,YNDABBUDF,YNDABBVDF,YNDABBWDF,YNDABBXDF,YNDABBYDF,YNDABBZDF,YNDABCADF,YNDABCBDF,YNDABCCDF,YNDABCDDF,YNDABCEDF,YNDABCFDF,YNDABCGDF,YNDABCHDF,YNDABCIDF,YNDABCJDF,YNDABCKDF,YNDABCLDF,YNDABCMDF,YNDABCNDF,YNDABCODF,YNDABCPDF,YNDABCQDF,YNDABCRDF,YNDABCSDF,YNDABCTDF,YNDABCUDF,YNDABCVDF,YNDABCWDF,YNDABCXDF,YNDABCYDF,YNDABCZDF,YNDABDADF,YNDABDBDF,YNDABDCDF,YNDABDDDF,YNDABDEDF,YNDABDFDF,YNDABDGDF,YNDABDHDF,YNDABDIDF,YNDABDJDF,YNDABDKDF,YNDABDLDF,YNDABDMDF,YNDABDNDF,YNDABDODF,YNDABDPDF,YNDABDQDF,YNDABDRDF,YNDABDSDF,YNDABDTDF,YNDABDUDF,YNDABDVDF,YNDABDWDF,YNDABDXDF,YNDABDYDF,YNDABDZDF,YNDABEADF,YNDABEBDF,YNDABECDF,YNDABEDDF,YNDABEEDF,YNDABEFDF,YNDABEGDF,YNDABEHDF,YNDABEIDF,YNDABEJDF,YNDABEKDF,YNDABELDF,YNDABEMDF,YNDABENDF,YNDABEODF,YNDABEPDF,YNDABEQDF,YNDABERDF,YNDABESDF,YNDABETDF,YNDABEUDF,YNDABEVDF,YNDABEWDF,YNDABEXDF",,,YG-1,"3,8,47",Carbide Straight Shank Drill,D5407,,,,,,0,0,0,0,0,,Carbide,SD_drill_normal,硬质合金 细长 直柄钻头 DIN 338,CARBIDE Jobber Straight Shank Drill DIN 338,grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-D5432,GR-SD-D5432,"YNDCAAKDF,YNDCAALDF,YNDCAAMDF,YNDCAANDF,YNDCAAODF,YNDCAAPDF,YNDCAAQDF,YNDCAARDF,YNDCAASDF,YNDCAATDF,YNDCAAUDF,YNDCAAVDF,YNDCAAWDF,YNDCAAXDF,YNDCAAYDF,YNDCAAZDF,YNDCABADF,YNDCABBDF,YNDCABCDF,YNDCABDDF,YNDCABEDF,YNDCABFDF,YNDCABGDF,YNDCABHDF,YNDCABIDF,YNDCABJDF,YNDCABKDF,YNDCABLDF,YNDCABMDF,YNDCABNDF,YNDCABODF,YNDCABPDF,YNDCABQDF,YNDCABRDF,YNDCABSDF,YNDCABTDF,YNDCABUDF,YNDCABVDF,YNDCABWDF,YNDCABXDF,YNDCABYDF,YNDCABZDF,YNDCACADF,YNDCACBDF,YNDCACCDF,YNDCACDDF,YNDCACEDF,YNDCACFDF,YNDCACGDF,YNDCACHDF,YNDCACIDF,YNDCACJDF,YNDCACKDF,YNDCACLDF,YNDCACMDF,YNDCACNDF,YNDCACODF,YNDCACPDF,YNDCACQDF,YNDCACRDF,YNDCACSDF,YNDCACTDF,YNDCACUDF,YNDCACVDF,YNDCACWDF,YNDCACXDF,YNDCACYDF,YNDCACZDF,YNDCADADF,YNDCADBDF,YNDCADCDF,YNDCADDDF,YNDCADEDF,YNDCADFDF,YNDCADGDF,YNDCADHDF,YNDCADIDF,YNDCADJDF,YNDCADKDF,YNDCADLDF,YNDCADMDF,YNDCADNDF,YNDCADODF,YNDCADPDF,YNDCADQDF,YNDCADRDF,YNDCADSDF,YNDCADTDF,YNDCADUDF,YNDCADVDF,YNDCADWDF,YNDCADXDF,YNDCADYDF,YNDCADZDF,YNDCAEADF,YNDCAEBDF,YNDCAECDF,YNDCAEDDF,YNDCAEEDF,YNDCAEFDF,YNDCAEGDF,YNDCAEHDF,YNDCAEIDF,YNDCAEJDF,YNDCAEKDF,YNDCAELDF,YNDCAEMDF",,,YG-1,"3,8,46",Dream Drill-ALU,D5432,,,,,,,,PLAIN,,,,Carbide,SD_drill_normal,油孔梦幻钻头 铝加工 3XD ,Dream Drill Alu 3XD with Coolant Hole,grouped,grouped,,888888,,Enable,10,,1,4,4
GR-SD-D5433,GR-SD-D5433,"YNDCAENDF,YNDCAEODF,YNDCAEPDF,YNDCAEQDF,YNDCAERDF,YNDCAESDF,YNDCAETDF,YNDCAEUDF,YNDCAEVDF,YNDCAEWDF,YNDCAEXDF,YNDCAEYDF,YNDCAEZDF,YNDCAFADF,YNDCAFBDF,YNDCAFCDF,YNDCAFDDF,YNDCAFEDF,YNDCAFFDF,YNDCAFGDF,YNDCAFHDF,YNDCAFIDF,YNDCAFJDF,YNDCAFKDF,YNDCAFLDF,YNDCAFMDF,YNDCAFNDF,YNDCAFODF,YNDCAFPDF,YNDCAFQDF,YNDCAFRDF,YNDCAFSDF,YNDCAFTDF,YNDCAFUDF,YNDCAFVDF,YNDCAFWDF,YNDCAFXDF,YNDCAFYDF,YNDCAFZDF,YNDCAGADF,YNDCAGBDF,YNDCAGCDF,YNDCAGDDF,YNDCAGEDF,YNDCAGFDF,YNDCAGGDF,YNDCAGHDF,YNDCAGIDF,YNDCAGJDF,YNDCAGKDF,YNDCAGLDF,YNDCAGMDF,YNDCAGNDF,YNDCAGODF,YNDCAGPDF,YNDCAGQDF,YNDCAGRDF,YNDCAGSDF,YNDCAGTDF,YNDCAGUDF,YNDCAGVDF,YNDCAGWDF,YNDCAGXDF,YNDCAGYDF,YNDCAGZDF,YNDCAHADF,YNDCAHBDF,YNDCAHCDF,YNDCAHDDF,YNDCAHEDF,YNDCAHFDF,YNDCAHGDF,YNDCAHHDF,YNDCAHIDF,YNDCAHJDF,YNDCAHKDF,YNDCAHLDF,YNDCAHMDF,YNDCAHNDF,YNDCAHODF,YNDCAHPDF,YNDCAHQDF,YNDCAHRDF,YNDCAHSDF,YNDCAHTDF,YNDCAHUDF,YNDCAHVDF,YNDCAHWDF,YNDCAHXDF,YNDCAHYDF,YNDCAHZDF,YNDCAIADF,YNDCAIBDF,YNDCAICDF,YNDCAIDDF,YNDCAIEDF,YNDCAIFDF,YNDCAIGDF,YNDCAIHDF,YNDCAIIDF,YNDCAIJDF,YNDCAIKDF,YNDCAILDF,YNDCAIMDF,YNDCAINDF,YNDCAIODF,YNDCAIPDF",,,YG-1,"3,8,46",Dream Drill-ALU,D5433,,,,,,,,PLAIN,,,,Carbide,SD_drill_normal,油孔梦幻钻头 铝加工 5XD ,Dream Drill Alu 5XD with Coolant Hole,grouped,grouped,,888888,,Enable,10,,1,4,4
